LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
76;MUHAMMAD RAHUL, S.H.;Fraksi Partai Gerakan Indonesia Raya;RIAU I;L;
77;MUHAMMAD ROHID, B.A. ;Fraksi Partai Gerakan Indonesia Raya;RIAU II;L;
78;ROCKY CANDRA, S.E.;Fraksi Partai Gerakan Indonesia Raya;JAMBI;L;
79;Hj. KARTIKA SANDRA DESI, S.H., M.M.;Fraksi Partai Gerakan Indonesia Raya;SUMATERA SELATAN I;P;
80;AHMAD WAZIR NOVIADI, S.Psi., M.Si.;Fraksi Partai Gerakan Indonesia Raya;SUMATERA SELATAN II;L;
81;Ir. SRI MELIYANA;Fraksi Partai Gerakan Indonesia Raya;SUMATERA SELATAN II;P;
82;H. AHMAD MUZANI;Fraksi Partai Gerakan Indonesia Raya;LAMPUNG I;L;
83;RUBY CHAIRANI SYIFFADIA, B.A. (Hons)., M.Sc.;Fraksi Partai Gerakan Indonesia Raya;LAMPUNG I;P;
84;Ir. DWITA RIA GUNADI;Fraksi Partai Gerakan Indonesia Raya;LAMPUNG II;P;
85;DR. BOB HASAN, S.H., M.H.;Fraksi Partai Gerakan Indonesia Raya;LAMPUNG II;L;
86;MELATI, S.H.;Fraksi Partai Gerakan Indonesia Raya;KEPULAUAN BANGKA BELITUNG;P;
87;IR. H. M. ENDIPAT WIJAYA, M.M.;Fraksi Partai Gerakan Indonesia Raya;KEPULAUAN RIAU;L;
88;Dr. HABIBUROKHMAN, S.H., M.H.;Fraksi Partai Gerakan Indonesia Raya;DKI JAKARTA I;L;
89;Hj. HIMMATUL ALIYAH, S.Sos., M.Si.;Fraksi Partai Gerakan Indonesia Raya;DKI JAKARTA II;P;
90;RAHAYU SARASWATI D. DJOJOHADIKUSUMO;Fraksi Partai Gerakan Indonesia Raya;DKI JAKARTA III;P;
91;MELLY GOESLAW;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT I;P;
92;RACHEL MARIAM SAYIDINA;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT II;P;
93;H. KAMRUSSAMAD, Ph.D.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT III;L;
94;Dr. Ir. Hj. ENDANG SETYAWATI THOHARI DESS, M.Sc.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT III;P;
95;HERI GUNAWAN, S.E., M.B.A., M.A.P.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT IV;L;
96;Dr. H. MULYADI, M.M.A;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT V;L;
97;MARLYN MAISARAH;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT V;P;
98;Ir. H. NUROJI;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT VI;L;
99;Dra. Hj. WARDATUL ASRIAH, MBA;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT VII;P;
100;drg. PUTIH SARI;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT VII;P;
101;H. OBON TABRONI;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT VII;L;
102;Dr. Ir. H. KARDAYA WARNIKA, D.E.A.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT VIII;L;
103;Dr. H. JEFRY ROMDONNY, S.E., S.Sos., M.Si., M.M.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT IX;L;
104;H. ROKHMAT ARDIYAN, S.Sos., M.M.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT X;L;
105;MUHAMMAD HUSEIN FADLULLOH, B.Bus., M.M., M.B.A.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT XI;L;
106;MULAN JAMEELA, S.S.;Fraksi Partai Gerakan Indonesia Raya;JAWA BARAT XI;P;
107;JAMAL MIRDAD;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH I;L;
108;H. ABDUL WACHID;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH II;L;
109;H. DANANG WICAKSANA SULISTYA, S.T.;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH III;L;
110;Ir. SRIYANTO SAPUTRO, M.M.;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH IV;L;
111;ADIK SASONGKO;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH V;L;
112;AZIS SUBEKTI, M.T.;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH VI;L;
113;Ir. K.R.T. H. DARORI WONODIPURO, M.M., IPU.;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH VII;L;
114;Dr. Hj. NOVITA WIJAYANTI, S.E., M.M.;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH VIII;P;
115;MOHAMAD HEKAL, B.Sc., M.B.A.;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH IX;L;
116;Dr. RAMSON SIAGIAN;Fraksi Partai Gerakan Indonesia Raya;JAWA TENGAH X;L;
117;SITI HEDIATI SOEHARTO, S.E.;Fraksi Partai Gerakan Indonesia Raya;DAERAH ISTIMEWA YOGYAKARTA;P;
118;Ir. H. BAMBANG HARYO SOEKARTONO;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR I;L;
119;AHMAD DHANI PRASETYO;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR I;L;
120;Dr. H. ANWAR SADAD, M.Ag.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR II;L;
121;Ir. SUMAIL ABDULLAH;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR III;L;
122;H. BAMBANG HARYADI, S.E.;Fraksi Partai Gerakan Indonesia Raya;JAWA TIMUR IV;L;
