LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
474;dr. GAMAL;Fraksi Partai Keadilan Sejahtera;JAWA TIMUR V;L;
475;RIYONO, S.Kel., M.Si.;Fraksi Partai Keadilan Sejahtera;JAWA TIMUR VII;L;
476;Hj. MEITRI CITRA WARDANI, S.H.;Fraksi Partai Keadilan Sejahtera;JAWA TIMUR VIII;P;
477;Dr. H. JAZULI JUWAINI, M.A.;Fraksi Partai Keadilan Sejahtera;BANTEN II;L;
478;HABIB IDRUS SALIM ALJUFRI, Lc., M.B.A.;Fraksi Partai Keadilan Sejahtera;BANTEN III;L;
479;H. JOHAN ROSIHAN, S.T.;Fraksi Partai Keadilan Sejahtera;NUSA TENGGARA BARAT I;L;
480;ABDUL HADI, S.E., M.M.;Fraksi Partai Keadilan Sejahtera;NUSA TENGGARA BARAT II;L;
481;H. ALIFUDIN, S.E., M.M.;Fraksi Partai Keadilan Sejahtera;KALIMANTAN BARAT I;L;
482;HABIB ABOE BAKAR ALHABSYI, S.E.;Fraksi Partai Keadilan Sejahtera;KALIMANTAN SELATAN I;L;
483;K.H. AUS HIDAYAT NUR;Fraksi Partai Keadilan Sejahtera;KALIMANTAN TIMUR;L;
484;Hj. MEITY RAHMATIA, S.E., S.Pd., M.M.;Fraksi Partai Keadilan Sejahtera;SULAWESI SELATAN I;P;
485;ISMAIL, S.K.M, M.M.;Fraksi Partai Keadilan Sejahtera;SULAWESI SELATAN II;L;
486;SAADIAH ULUPUTTY, S.T.;Fraksi Partai Keadilan Sejahtera;MALUKU;P;
487;IZZUDDIN ALQASSAM KASUBA;Fraksi Partai Keadilan Sejahtera;MALUKU UTARA;L;
488;H. NAZARUDDIN DEK GAM, S.I.P.;Fraksi Partai Amanat Nasional;ACEH I;L;
489;Dr. SALEH PARTAONAN DAULAY, M.Ag., M.Hum., M.A.;Fraksi Partai Amanat Nasional;SUMATERA UTARA II;L;
490;H. NASRIL BAHAR, S.E.;Fraksi Partai Amanat Nasional;SUMATERA UTARA III;L;
491;ATHARI GAUTHI ARDI, S.H.;Fraksi Partai Amanat Nasional;SUMATERA BARAT I;P;
492;H. ARISAL AZIZ;Fraksi Partai Amanat Nasional;SUMATERA BARAT II;L;
493;Ir. H. SAHIDIN;Fraksi Partai Amanat Nasional;RIAU II;L;
494;H. A. BAKRI H.M., S.E.;Fraksi Partai Amanat Nasional;JAMBI;L;
495;H. ISKANDAR, S.E.;Fraksi Partai Amanat Nasional;SUMATERA SELATAN II;L;
496;Dr. drh. Hj. DEWI CORYATI, M.Si.;Fraksi Partai Amanat Nasional;BENGKULU;P;
497;PUTRI ZULKIFLI HASAN, S.Mn., M.Bus.;Fraksi Partai Amanat Nasional;LAMPUNG I;P;
498;Ir. H. IRHAM JAFAR LAN PUTRA, M.H.;Fraksi Partai Amanat Nasional;LAMPUNG II;L;
499;EKO HENDRO PURNOMO, S.Sos.;Fraksi Partai Amanat Nasional;DKI JAKARTA I;L;
500;SURYA UTAMA, S.I.P.;Fraksi Partai Amanat Nasional;DKI JAKARTA II;L;
501;SIGIT PURNOMO, S.A.P.;Fraksi Partai Amanat Nasional;DKI JAKARTA III;L;
502;H. AHMAD NAJIB QODRATULLAH, S.E., M.H.;Fraksi Partai Amanat Nasional;JAWA BARAT II;L;
503;H. EDDY SOEPARNO, S.H., M.H.;Fraksi Partai Amanat Nasional;JAWA BARAT III;L;
504;Dr. DESY RATNASARI, M.Si., M.Psi., Psikolog.;Fraksi Partai Amanat Nasional;JAWA BARAT IV;P;
505;PRIMUS YUSTISIO, S.E., M.A.P.;Fraksi Partai Amanat Nasional;JAWA BARAT V;L;
506;VERRELL BRAMASTA;Fraksi Partai Amanat Nasional;JAWA BARAT VII;L;
507;FARAH PUTERI NAHLIA, B.A., M.Sc.;Fraksi Partai Amanat Nasional;JAWA BARAT IX;P;
508;Ir. H. HERRY DERMAWAN;Fraksi Partai Amanat Nasional;JAWA BARAT X;L;
509;MUHAMMAD HOERUDIN AMIN, S.Ag., M.H.;Fraksi Partai Amanat Nasional;JAWA BARAT XI;L;
510;MUHAMMAD HATTA;Fraksi Partai Amanat Nasional;JAWA TENGAH V;L;
511;AQIB ARDIANSYAH, M.Si.;Fraksi Partai Amanat Nasional;JAWA TENGAH VII;L;
512;WAHYUDIN NOOR ALY ;Fraksi Partai Amanat Nasional;JAWA TENGAH IX;L;
513;H. TOTOK DARYANTO, S.E.;Fraksi Partai Amanat Nasional;DAERAH ISTIMEWA YOGYAKARTA;L;
514;ARIZAL TOM LIWAFA, S.T., M.M., M.H.;Fraksi Partai Amanat Nasional;JAWA TIMUR I;L;
515;SYAIFUL NURI;Fraksi Partai Amanat Nasional;JAWA TIMUR II;L;
516;Dr. Ir. H. AHMAD RIZKI SADIG, M.Si.;Fraksi Partai Amanat Nasional;JAWA TIMUR VI;L;
517;ABDUL HAKIM BAFAGIH;Fraksi Partai Amanat Nasional;JAWA TIMUR VIII;L;
518;H. SLAMET ARIYADI, S.Psi., M.Sos.;Fraksi Partai Amanat Nasional;JAWA TIMUR XI;L;
519;H. EDISON SITORUS, S.T.;Fraksi Partai Amanat Nasional;BANTEN II;L;
520;OKTA KUMALA DEWI, S.E., M.Ak.;Fraksi Partai Amanat Nasional;BANTEN III;P;
521;H. M. MUAZZIM AKBAR, S.I.P.;Fraksi Partai Amanat Nasional;NUSA TENGGARA BARAT II;L;
522;AHMAD YOHAN, M.Si.;Fraksi Partai Amanat Nasional;NUSA TENGGARA TIMUR I;L;
523;H. BOYMAN HARUN, S.H.;Fraksi Partai Amanat Nasional;KALIMANTAN BARAT I;L;
524;MUHAMMAD SYAUQIE, S.Hut.;Fraksi Partai Amanat Nasional;KALIMANTAN TENGAH;L;
525;Ir. PANGERAN KHAIRUL SALEH, M.M.;Fraksi Partai Amanat Nasional;KALIMANTAN SELATAN I;L;
526;ENDANG AGUSTINA, S.Sos., M.H.;Fraksi Partai Amanat Nasional;KALIMANTAN SELATAN II;L;
527;H. SUDIAN NOOR;Fraksi Partai Amanat Nasional;KALIMANTAN SELATAN II;L;
528;EDI OLOAN PASARIBU, S.T., M.M.;Fraksi Partai Amanat Nasional;KALIMANTAN TIMUR;L;
529;Dr. SARIFUDDIN SUDDING, S.H., M.H.;Fraksi Partai Amanat Nasional;SULAWESI TENGAH;L;
530;Dr. H. ASHABUL KAHFI, M.Ag.;Fraksi Partai Amanat Nasional;SULAWESI SELATAN I;L;
531;Dr. Ir. Hj. ANDI YULIANI PARIS, M.Sc.;Fraksi Partai Amanat Nasional;SULAWESI SELATAN II;P;
532;Drs. H. MUSLIMIN BANDO, M.Pd.;Fraksi Partai Amanat Nasional;SULAWESI SELATAN III;L;
533;AJBAR, S.P.;Fraksi Partai Amanat Nasional;SULAWESI BARAT;L;
534;WIDYA PRATIWI, S.H.;Fraksi Partai Amanat Nasional;MALUKU;P;
535;PAULUS UBRUANGGE, A.Md.IP.;Fraksi Partai Amanat Nasional;PAPUA PEGUNUNGAN;L;
536;H.TEUKU IBRAHIM, S.T., M.M.;Fraksi Partai Demokrat;ACEH I;L;
537;H. MUHAMMAD LOKOT NASUTION, S.T.;Fraksi Partai Demokrat;SUMATERA UTARA I;L;
538;Drs. SABAM SINAGA, M.M.;Fraksi Partai Demokrat;SUMATERA UTARA II;L;
539;Dr. HINCA I.P. PANDJAITAN XIII, S.H., M.H., ACCS.;Fraksi Partai Demokrat;SUMATERA UTARA III;L;
540;Ir. H. MULYADI;Fraksi Partai Demokrat;SUMATERA BARAT II;L;
541;Dr. H. ACHMAD, M.Si.;Fraksi Partai Demokrat;RIAU I;L;
542;Drs. H. ZULFIKAR ACHMAD;Fraksi Partai Demokrat;JAMBI;L;
543;Ir. H. ISHAK MEKKI, M.M.;Fraksi Partai Demokrat;SUMATERA SELATAN I;L;
544;WAHYU SANJAYA, S.E., M.M.;Fraksi Partai Demokrat;SUMATERA SELATAN II;L;
545;H. ZULKIFLI ANWAR;Fraksi Partai Demokrat;LAMPUNG I;L;
546;MARWAN CIK ASAN;Fraksi Partai Demokrat;LAMPUNG II;L;
547;NURWAYAH, S.Pd.;Fraksi Partai Demokrat;DKI JAKARTA III;P;
548;H. FATHI;Fraksi Partai Demokrat;JAWA BARAT I;L;
549;Dr. DEDE YUSUF MACAN EFFENDI, S.T., M.I.Pol.;Fraksi Partai Demokrat;JAWA BARAT II;L;
550;IMAN ADINUGRAHA, S.E., Akt.;Fraksi Partai Demokrat;JAWA BARAT IV;L;
551;H. ANTON SUKARTONO SURATTO, M.Si.;Fraksi Partai Demokrat;JAWA BARAT V;L;
552;dr. Hj. CELLICA NURRACHADIANA, M.H.Kes.;Fraksi Partai Demokrat;JAWA BARAT VII;P;
553;Dr. Ir. H.E. HERMAN KHAERON, M.Si.;Fraksi Partai Demokrat;JAWA BARAT VIII;L;
554;dr. RAJA FAISAL MANGANJU SITORUS;Fraksi Partai Demokrat;JAWA TENGAH I;L;
555;HARMUSA OKTAVIANI, S.E., M.H. ;Fraksi Partai Demokrat;JAWA TENGAH III;P;
556;RINTO SUBEKTI, S.E., M.M.;Fraksi Partai Demokrat;JAWA TENGAH IV;L;
557;BRAMANTYO SUWONDO, M.IR;Fraksi Partai Demokrat;JAWA TENGAH VI;L;
558;H. WASTAM, S.E., S.H., M.H.;Fraksi Partai Demokrat;JAWA TENGAH VIII;L;
559;Dra. LUCY KURNIASARI;Fraksi Partai Demokrat;JAWA TIMUR I;P;
560;DINA LORENZA AUDRIA, S.I.P.;Fraksi Partai Demokrat;JAWA TIMUR III;P;
561;Dr. EDHIE BASKORO YUDHOYONO, B.Com., M.Sc.;Fraksi Partai Demokrat;JAWA TIMUR VII;L;
562;Dr. SARTONO, S.E., M.M.;Fraksi Partai Demokrat;JAWA TIMUR VII;L;
563;Drs. H. GUNTUR SASONO, M.Si.;Fraksi Partai Demokrat;JAWA TIMUR VIII;L;
564;H. HASANI BIN ZUBER, S.IP., M.KP.;Fraksi Partai Demokrat;JAWA TIMUR XI;L;
565;RIZKI AULIA RAHMAN NATAKUSUMAH;Fraksi Partai Demokrat;BANTEN I;L;
566;ZULFIKAR HAMONANGAN, S.H.;Fraksi Partai Demokrat;BANTEN III;L;
567;TUTIK KUSUMA WARDHANI, S.E., M.M., M.Kes.;Fraksi Partai Demokrat;BALI;P;
568;Dr. Ir. H. NANANG SAMODRA K.A., M.Sc.;Fraksi Partai Demokrat;NUSA TENGGARA BARAT II;L;
569;Dr. BENNY KABUR HARMAN, S.H.;Fraksi Partai Demokrat;NUSA TENGGARA TIMUR I;L;
570;ANITA JACOBA GAH, S.E.;Fraksi Partai Demokrat;NUSA TENGGARA TIMUR II;P;
571;BAMBANG PURWANTO, S.ST., M.H.;Fraksi Partai Demokrat;KALIMANTAN TENGAH;L;
572;HASAN SALEH;Fraksi Partai Demokrat;KALIMANTAN UTARA;L;
573;Dr. HILLARY BRIGITTA LASUT, S.H., LL.M.;Fraksi Partai Demokrat;SULAWESI UTARA;P;
574;ELLEN ESTHER PELEALU, S.E.;Fraksi Partai Demokrat;SULAWESI TENGAH;P;
575;ANDI MUZAKKIR AQIL, S.H., M.H.;Fraksi Partai Demokrat;SULAWESI SELATAN II;L;
576;Irjen. Pol. (Purn) Drs. FREDERIK KALALEMBANG;Fraksi Partai Demokrat;SULAWESI SELATAN III;L;
577;RUSDA MAHMUD;Fraksi Partai Demokrat;SULAWESI TENGGARA;L;
578;MUH. ZULFIKAR SUHARDI, S.IP.;Fraksi Partai Demokrat;SULAWESI BARAT;L;
579;FAUJIA HELGA Br. TAMPUBOLON;Fraksi Partai Demokrat;PAPUA BARAT DAYA;P;
580;WIBOWO PRASETYO;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH VI;L;
